0PIOCR,NULL
1VRDFB,0PIOCR
2BBEHK,0PIOCR
3VIDOM,0PIOCR
4CZGOW,0PIOCR
5YEYAQ,0PIOCR
6ULNNM,0PIOCR
7CWXDT,0PIOCR
8RKIMU,0PIOCR
9QKKBF,0PIOCR
10WPRBS,1VRDFB
11DEYEV,1VRDFB
12YZKZB,1VRDFB
13EZYXG,1VRDFB
14IDRZA,1VRDFB
15NBTHT,1VRDFB
16SCFMD,1VRDFB
17JCTZK,1VRDFB
18NSDLX,1VRDFB
19CBSGC,1VRDFB
20LHXXA,2BBEHK
21VXCVS,2BBEHK
22WAVOQ,2BBEHK
23VBPXN,2BBEHK
24DFLGJ,2BBEHK
25LJQNV,2BBEHK
26BAKFC,2BBEHK
27IJHBJ,2BBEHK
28LBXVK,2BBEHK
29LTUXP,2BBEHK
30MGZCB,3VIDOM
31DIQHE,3VIDOM
32PUXQK,3VIDOM
33HUAGG,3VIDOM
34PQJUV,3VIDOM
35QMPWG,3VIDOM
36TSNMO,3VIDOM
37AAOBD,3VIDOM
38GFRLL,3VIDOM
39VXXJP,3VIDOM
40CYGGT,4CZGOW
41VTXYS,4CZGOW
42EYKLC,4CZGOW
43HPIUP,4CZGOW
44NDGNY,4CZGOW
45XEGWG,4CZGOW
46LZNQM,4CZGOW
47DWHSE,4CZGOW
48RRAIL,4CZGOW
49CJNAY,4CZGOW
50FMGKD,5YEYAQ
51MHTZH,5YEYAQ
52SQMMR,5YEYAQ
53ETJBK,5YEYAQ
54WVSSM,5YEYAQ
55RCKMP,5YEYAQ
56WUXRM,5YEYAQ
57XDAAY,5YEYAQ
58EFQRQ,5YEYAQ
59EOAPQ,5YEYAQ
60EPUMH,6ULNNM
61QLMOS,6ULNNM
62VJRCV,6ULNNM
63EGDWE,6ULNNM
64ALAKT,6ULNNM
65XQYEM,6ULNNM
66DHFJC,6ULNNM
67RDHFY,6ULNNM
68HORGJ,6ULNNM
69TOXCY,6ULNNM
70BQCGP,7CWXDT
71VYLMI,7CWXDT
72TGDVQ,7CWXDT
73AYOPJ,7CWXDT
74HLUJI,7CWXDT
75DTWHM,7CWXDT
76UVWEZ,7CWXDT
77RYJLA,7CWXDT
78DSJQZ,7CWXDT
79YUITT,7CWXDT
80YJKMG,8RKIMU
81RTNGU,8RKIMU
82RFQTN,8RKIMU
83ZTPAE,8RKIMU
84ZAZUZ,8RKIMU
85MHPKE,8RKIMU
86GRGEJ,8RKIMU
87EHFQO,8RKIMU
88PYHJL,8RKIMU
89HMVGR,8RKIMU
90KWCED,9QKKBF
91EZLHG,9QKKBF
92CIBMW,9QKKBF
93RKWRZ,9QKKBF
94MYJBW,9QKKBF
95PDYEV,9QKKBF
96RTUUX,9QKKBF
97SRJYR,9QKKBF
98IHIXY,9QKKBF
99XDMFN,9QKKBF
